CDC19	1	71787	73289	W
RPL23A	2	59818	60735	C
RPS8A	2	88521	89123	C
RPL4A	2	300166	301254	W
TEF2	2	477665	479041	W
RPS6B	2	591707	592769	C
RPS9B	2	604503	605503	W
RPL21A	2	606265	607135	W
PGK1	3	137744	138994	W
SSB1	4	44066	45907	W
RPL35A	4	117665	118518	W
RPP1B	4	229906	230527	W
RPS16B	4	306926	307789	C
RPL13A	4	308424	309388	W
RPL31A	4	322226	322988	W
MRH1	4	508145	509107	W
TPI1	4	555725	556471	C
RPS13	4	579457	580451	W
EFT2	4	1243223	1245751	W
RPS18A	4	1359916	1360791	W
YRF1-1	4	1526307	1531697	W
FCY2	5	266511	268112	C
RPS8B	5	363096	363698	W
RPL23B	5	396765	397649	W
YRF1-2	5	571475	576520	W
RPL2A	6	220495	221406	C
HXK2	7	23935	25395	W
RPS26A	7	148235	148594	C
RPL1B	7	254646	255299	W
RPS2	7	277623	278387	W
RPL28	7	310970	311930	W
RPL7A	7	364338	365999	C
RPL24A	7	437472	437939	C
PMA1	7	479915	482671	C
RPL26B	7	555816	556676	W
RPL11B	7	648387	648911	C
RPS23A	7	726978	727735	W
RPL24B	7	787317	787784	C
TDH3	7	882817	883815	C
YRF1-3	7	1084871	1090598	W
RPL14B	8	104272	105086	W
RPL27A	8	126515	127486	W
RPS27B	8	147864	148662	C
ENO2	8	451327	452640	W
RPS4B	8	504476	505530	C
RPL16A	9	98527	99416	C
THS1	9	212496	214700	W
RPL34B	9	256224	257061	C
RPL2B	9	316766	317930	W
RPS21B	10	156547	157270	C
URA2	10	165720	172364	C
TDH2	10	453676	454674	C
RPS5	10	651892	652569	W
RPS4A	10	702018	703059	C
FAS1	11	100676	106831	W
RPL17A	11	109274	110134	W
FBA1	11	326052	327131	C
RPL14A	11	431549	432363	W
RPS21A	11	551299	551884	W
SSA2	12	95565	97484	C
PDC1	12	232391	234082	C
RPL22A	12	263195	263949	W
RPL10	12	282928	283593	W
CCW12	12	369698	370099	C
YEF3	12	636782	639916	W
RPS30A	12	712539	713160	C
EXG1	12	728957	730303	W
FKS1	12	809997	815627	W
YRF1-5	12	1072506	1077896	W
RPS18B	13	222987	223828	C
RPS17A	13	225889	226697	W
ASC1	13	499455	500687	C
YRF1-6	14	371	6098	C
EGT2	14	24047	27172	W
RPS19B	14	61958	62943	C
SSB2	14	252060	253901	W
RPS3	14	302682	303404	W
RPL42A	14	331324	332156	W
DBP2	14	413641	416283	W
RPL16B	14	493957	495002	C
ACC1	14	654675	661376	C
RPS19A	15	92026	92850	C
RPL18A	15	93395	94402	C
ADH1	15	159548	160594	C
RPL3	15	444688	445851	W
RPS7A	15	505795	506768	W
EFT1	15	575099	577627	W
PDR5	15	619841	624376	W
RPL33B	15	778556	779406	C
RPS10A	15	867097	867851	W
YRF1-7	16	280	6007	C
FAS2	16	108652	114315	W
RPL33A	16	282121	282969	W
RPL5	16	303120	304013	W
RPS6A	16	377288	378392	C
RPL21B	16	406633	407536	W
RPA135	16	577582	581193	C
TEF1	16	700592	701968	W
RPS23B	16	794961	795763	W
